as_of_date,confidence_level,mr001_var,mr001_es,realized_loss,is_exception,rolling_exception_rate_125,rolling_exception_rate_250,kupiec_p_value_250,conditional_coverage_p_value_250,exceptions_last_5d,exceptions_last_10d,days_since_last_exception,mr002_var,mr003_var,mr004_var,mr002_divergence,mr003_divergence,mr004_divergence,max_challenger_divergence,volatility_60d,volatility_regime,high_vol_tail_escalation,data_quality_status,exception_rate_status,kupiec_status,conditional_coverage_status,cluster_status,challenger_divergence_status,challenger_review_required,far_tail_performance_watch,dependence_watch_status,tail_watch_status,overall_status,open_findings,snapshot_is_live,snapshot_scope
2026-03-06,0.95,0.0124097972913986,0.0158344012054956,0.0040086185865791,False,0.048,0.048,0.8838996943306077,0.03477832745049861,1,1,3.0,0.0112756455791289,0.0138513156670533,0.0107213390927999,0.09139163885100651,0.11615970364430009,0.13605848338626722,0.13605848338626722,0.00801225902782599,HIGH_VOL,False,GREEN,GREEN,GREEN,RED,GREEN,GREEN,False,GREEN,AMBER,GREEN,AMBER,MV-001;MV-002,False,"historical frozen-data snapshot, not live/current market-risk status"
2026-03-06,0.99,0.0179950469989955,0.0207722577673881,0.0040086185865791,False,0.008,0.02,0.1618549171960387,0.061324500505478836,0,0,24.0,0.024256224249455,0.0195901800784786,0.01839256471848,0.3479389217938138,0.08864289599088798,0.022090396291084405,0.3479389217938138,0.00801225902782599,HIGH_VOL,True,GREEN,RED,GREEN,AMBER,GREEN,RED,True,RED,AMBER,RED,RED,MV-001;MV-002,False,"historical frozen-data snapshot, not live/current market-risk status"
